FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,DQ,PQ,RQ,STcompensation,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Female_AE_breathy_100Hz,Female,AE,breathy,100,QCP,grid-search,14,0,3,0.99,0.65,0,0,0,0.0462946114451296,0.431491134893976,-2,1358.89644302734,1365.11460360169,2.68890229976638,0,0.0693198769051678,0.0688322071044385,0.0688322071044385,0,0.0294117647058824,0.0294117647058824,-0.0294117647058824,0.414850561168953,0.414371860525002,-0.414371860525002,0.277850130307853,0.277368906338538,-0.277368906338538,6.58642961794021,6.57836729920265,-6.57836729920265,0.100004540455914,0.108572714586125,-0.108572714586125,-18.4799844895881,-36.7734524366529,18.3238973623598,18.2934679470647,-18.2934679470647,0,0,0,13.0925648032007,9.93632188146644
Female_AE_breathy_120Hz,Female,AE,breathy,120,QCP,grid-search,14,0,3,0.99,0.45,0,0,0,0.0561796789167225,0.430894959482404,-1,1104.58209736147,1119.69575463063,2.54676008365769,0,0.0146018641504908,0.0150239713356065,-0.0150239713356065,0,0.0357142857142857,0.0357142857142857,-0.0357142857142857,0.606194818686959,0.603703895809005,-0.603703895809005,0.215287755659321,0.215391865420418,-0.215391865420418,4.37417155707759,4.3762868374121,-4.3762868374121,0.102726632027906,0.103368313433202,-0.103368313433202,-20.2471197716782,-36.8662501404756,16.6162796347813,16.6191303687974,-16.6191303687974,0,0,0,11.845569375555,8.57947179241184
Female_AE_breathy_140Hz,Female,AE,breathy,140,QCP,grid-search,14,0,3,0.99,0.45,0.025,0,0,0.0813381926493513,0.428424430719512,-2,775.239863775582,761.88832436577,2.30319219928258,0,0.0964278627747711,0.0953957597959439,0.0953957597959439,0,0.11304347826087,0.130434782608696,-0.130434782608696,0.234492769329212,0.234528394741631,-0.234528394741631,0.225381904012713,0.225449314350849,-0.225449314350849,4.0450666589177,4.0462765134198,-4.0462765134198,0.0689427865093984,0.0586124356508777,-0.0586124356508777,-16.6619957062352,-35.0153838020261,18.3488302941743,18.3533880957909,-18.3533880957909,0,0,0,10.8824260599373,8.55977242601728
Female_AE_breathy_160Hz,Female,AE,breathy,160,QCP,grid-search,8,0,3,0.99,0.4,0.1,0.1,0,0.0521271322488684,0.43528697092214,-1,1210.91158722684,1214.8889174984,2.19033265408265,0,0.010875353632043,0.0116566922872718,-0.0116566922872718,0,0.0454545454545455,0.0454545454545455,-0.0454545454545455,0.0145457312670272,0.0147741349845063,0.0147741349845063,0.130043348775482,0.130019862389103,-0.130019862389103,2.10782701793386,2.10744633533664,-2.10744633533664,0.0344105568621817,0.0350060727606023,-0.0350060727606023,-30.2215030024003,-35.2593919536331,5.04583346310238,5.03788895123282,-5.03788895123282,0,0,0,13.5328013475963,8.63462945996905
Female_AE_breathy_180Hz,Female,AE,breathy,180,QCP,grid-search,12,0,3,0.99,0.4,0,0.05,0,0.0910078485691266,0.436123158061914,-1,675.703911078248,679.885743813257,1.77911207929659,0,0.058998360294246,0.0579096176442699,0.0579096176442699,0,0,0,0,0.590399328829028,0.572985869256755,-0.572985869256755,0.163078446697962,0.162271654674863,-0.162271654674863,2.36021139518037,2.37090362728403,-2.37090362728403,0.0724489009785287,0.0802107108290248,-0.0802107108290248,-19.3007795875646,-34.3795330034554,15.142792714736,15.078764151476,-15.078764151476,0,0,0,10.637737671103,7.75880736891224
Female_AE_breathy_200Hz,Female,AE,breathy,200,QCP,grid-search,8,0,3,0.99,0.6,0.2,0,0,0.0777815861361477,0.438576486546017,-1,795.436640084421,800.45682719296,1.76004926831387,0,0.0160448521750522,0.0156388963884722,0.0156388963884722,0,0.0588235294117647,0.0588235294117648,-0.0588235294117648,0.00225316650833878,0.00238218934947554,0.00238218934947554,0.121746166715521,0.121751715341188,-0.121751715341188,1.63280439626636,1.63287881191843,-1.63287881191843,0.0150919647815202,0.0144531100741319,-0.0144531100741319,-26.0448941575733,-34.1519793068017,8.10445191024548,8.10708514922838,-8.10708514922838,0,0,0,12.5976357090566,8.21064495192266
Female_AE_breathy_220Hz,Female,AE,breathy,220,QCP,grid-search,14,0,3,0.99,0.7,0,0.05,0,0.143971982047089,0.437783503034403,-1,413.826411912156,417.187601408278,1.70587840713004,0,0.0776735260582533,0.0772261265089901,0.0772261265089901,0,0,0,0,0.44947231091078,0.452777434523284,-0.452777434523284,0.125679968933651,0.125618028595899,-0.125618028595899,1.54655879556999,1.54579658680304,-1.54579658680304,0.0638692600475684,0.068255418693635,-0.068255418693635,-21.4470700463022,-33.2217831286642,11.7752297588677,11.774713082362,-11.774713082362,0,0,0,10.6336241270185,7.23326906563149
Female_AE_breathy_240Hz,Female,AE,breathy,240,QCP,grid-search,13,0,3,0.99,0.5,0,0.2,0,0.112448438373732,0.434397305389085,-1,535.921390318957,544.864104907499,1.60470181753515,0,0.114572232977007,0.113911945347247,0.113911945347247,0,0.0714285714285715,0.0714285714285715,-0.0714285714285715,0.269442623992522,0.250278901407754,-0.250278901407754,0.134487018015449,0.13459404198168,-0.13459404198168,1.57127496447343,1.57252537571177,-1.57252537571177,0.0372903764435507,0.035541433682001,-0.035541433682001,-19.5270634358939,-33.1266506547242,13.601398380478,13.5995872188304,-13.5995872188304,0,0,0,9.95199792505736,7.15755520577378
Female_AE_breathy_260Hz,Female,AE,breathy,260,QCP,grid-search,10,0,3,0.99,0.75,0,0.15,0,0.205593970803761,0.443192566741524,30,284.616521891498,280.079018715768,1.92552204210317,0,0.0445277261499327,0.0447311778226887,0.0447311778226887,0,0.0769230769230769,0.0769230769230769,-0.0769230769230769,0.230564195357319,0.2304189366494,-0.2304189366494,0.116575510106235,0.116566493128907,-0.116566493128907,1.21288759690277,1.21279378148688,-1.21279378148688,0.0270458021923344,0.0198959936925952,-0.0198959936925952,-19.4314520793188,-33.1239395752455,13.6934903695947,13.6924874959266,-13.6924874959266,0,0,0,8.69005648837436,5.67272715168537
Female_AE_breathy_280Hz,Female,AE,breathy,280,QCP,grid-search,10,0,3,0.99,0.75,0.025,0.05,0,0.15473074575637,0.450924019675797,28,394.267744184864,388.141330765975,1.85607033427915,0,0.0745721291200835,0.0746792280027344,0.0746792280027344,0,0.166666666666667,0.166666666666667,-0.166666666666667,0.0431433018253753,0.0433507639100768,-0.0433507639100768,0.107460177765098,0.107466582687118,-0.107466582687118,1.05371730078306,1.05378010523102,-1.05378010523102,0.00464876713645119,0.000105615236690133,4.6711901180193e-05,-21.1721556131034,-31.9773457685753,10.8059512655056,10.805190155472,-10.805190155472,0,0,0,8.79762789525016,5.78378654998735
