FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,DQ,PQ,RQ,STcompensation,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Female_AE_breathy_100Hz,Female,AE,breathy,100,QCP,grid-search,14,0,3,0.99,0.4,0,0,1,0.0550558921117657,0.431406501366651,-2,1133.52093588549,1138.39609101819,2.78441636473477,0,0.0985441902734765,0.0980711477459599,0.0980711477459599,0,0.0294117647058824,0.0294117647058824,-0.0294117647058824,0.434391338284588,0.434251462233533,-0.434251462233533,0.294424049670392,0.293986939008312,-0.293986939008312,6.97931782759202,6.97249771610849,-6.97249771610849,0.104969958734903,0.110992481768024,-0.110992481768024,-15.4788801862529,-36.7734524366529,21.318254736367,21.2945722504,-21.2945722504,0,0,0,12.5156598501028,9.98082657094101
Female_AE_breathy_120Hz,Female,AE,breathy,120,QCP,grid-search,13,0,3,0.99,0.8,0,0,1,0.0862282966393546,0.430593549990917,-2,699.536928295215,709.499330191464,2.53707734768154,0,0.040512381075069,0.0405899842100301,-0.0405899842100301,0,0.0357142857142857,0.0357142857142857,-0.0357142857142857,0.188602408551396,0.188923520562597,-0.188923520562597,0.255103341493807,0.255095114074543,-0.255095114074543,5.18313629616471,5.18296913318219,-5.18296913318219,0.0704020610734684,0.0713974475877029,-0.0713974475877029,-15.7495033111825,-36.8662501404756,21.1167712562915,21.1167468292931,-21.1167468292931,0,0,0,10.9338367258295,8.55385220255918
Female_AE_breathy_140Hz,Female,AE,breathy,140,QCP,grid-search,14,0,3,0.99,0.55,0,0.1,1,0.0860099485116242,0.42835387657368,-2,734.149862303181,717.448715890067,2.37127000920681,0,0.109589307850209,0.107103497063743,0.107103497063743,0,0.0869565217391303,0.0869565217391303,-0.0869565217391303,0.215510208454228,0.186750387738073,-0.186750387738073,0.230514587467241,0.230965162387753,-0.230965162387753,4.13718606310696,4.14527280634524,-4.14527280634524,0.068157782858016,0.064075604759214,-0.064075604759214,-15.3941654514521,-35.0153838020261,19.6285279411328,19.621218350574,-19.621218350574,0,0,0,10.6869691551869,8.55916846788666
Female_AE_breathy_160Hz,Female,AE,breathy,160,QCP,grid-search,14,0,3,0.99,0.85,0,0,1,0.153856789025826,0.435681486090816,-2,374.314897871992,377.12403094882,2.67638138216367,0,0.18066640678888,0.179988068982132,0.179988068982132,0,0,0,0,0.195320645822337,0.194792977194538,-0.194792977194538,0.232753287565807,0.232751272689085,-0.232751272689085,3.77261638264298,3.77258372421306,-3.77258372421306,0.0561537775301226,0.0462653806753014,-0.0462653806753014,-12.5098769595714,-35.2593919536331,22.7497720005193,22.7495149940617,-22.7495149940617,0,0,0,10.0926636254907,8.46551065793406
Female_AE_breathy_180Hz,Female,AE,breathy,180,QCP,grid-search,12,0,3,0.99,0.8,0,0,1,0.105957035468165,0.436146804746922,-1,572.318147665397,576.574857827536,2.13934981668912,0,0.0877109131607357,0.0868544176168009,0.0868544176168009,0,0,0,0,0.629995445685498,0.608645511527264,-0.608645511527264,0.175446155244571,0.174582319266854,-0.174582319266854,2.53925110408277,2.55076675133937,-2.55076675133937,0.0802517823833652,0.0887428647670289,-0.0887428647670289,-15.3168126893394,-34.3795330034554,19.1402642015408,19.0627524368059,-19.0627524368059,0,0,0,10.0002424505592,7.79672575580449
Female_AE_breathy_200Hz,Female,AE,breathy,200,QCP,grid-search,8,0,3,0.99,0.5,0.15,0,1,0.0990732144717726,0.439007205032204,-1,611.2740213834,616.860172438586,2.88721258275617,0,0.0669620515599876,0.066579658832053,0.066579658832053,0,0.0588235294117647,0.0588235294117648,-0.0588235294117648,0.0827355549813231,0.0830174210954269,0.0830174210954269,0.146332893528203,0.146326104488395,-0.146326104488395,1.96255043026967,1.96245937874547,-1.96245937874547,0.0222341331524611,0.0237363031909726,-0.0237363031909726,-20.9804980650013,-34.1519793068017,13.1721689029459,13.1714812418004,-13.1714812418004,0,0,0,11.8617362602285,8.27879773168689
Female_AE_breathy_220Hz,Female,AE,breathy,220,QCP,grid-search,12,0,3,0.99,0.65,0,0,1,0.166479882158131,0.43723670352826,-1,351.303466043514,354.506987837531,2.46036376163039,0,0.109982914157795,0.109297767337274,0.109297767337274,0,0,0,0,0.359178743691839,0.357988933786714,-0.357988933786714,0.13715966011407,0.137063480821735,-0.137063480821735,1.68782249507708,1.68663895778173,-1.68663895778173,0.0935622764008722,0.10351132210205,-0.10351132210205,-16.0385652419448,-33.2217831286642,17.1906342993762,17.1832178867194,-17.1832178867194,0,0,0,10.0446477712219,7.45045762865996
Female_AE_breathy_240Hz,Female,AE,breathy,240,QCP,grid-search,8,0,3,0.99,0.4,0.1,0.2,1,0.101919680188031,0.433772963189772,-1,594.496090574546,606.151405599677,2.15103885530855,0,0.0863739610951023,0.0864410470241492,0.0864410470241492,0,0.0714285714285715,0.0714285714285715,-0.0714285714285715,0.113710947444748,0.113501437838103,0.113501437838103,0.124839587408583,0.124882242413537,-0.124882242413537,1.45855950384569,1.45905786229235,-1.45905786229235,0.00805358297367295,0.00874554764763204,-0.00874554764763204,-22.5461773066177,-33.1266506547242,10.5723927894266,10.5804733481066,-10.5804733481066,0,0,0,10.3665640098525,7.14898519312591
Female_AE_breathy_260Hz,Female,AE,breathy,260,QCP,grid-search,8,0,3,0.99,0.6,0.2,0.05,1,0.198707794828398,0.442966296226683,30,292.38965387121,290.885861128122,2.46895560232316,0,0.0620076698596156,0.0621654107682585,0.0621654107682585,0,0.0769230769230769,0.0769230769230769,-0.0769230769230769,0.198251925194919,0.19859042970991,0.19859042970991,0.117929035619449,0.11792033618455,-0.11792033618455,1.22697009420921,1.22687958260279,-1.22687958260279,0.0136790533462094,0.00908085146120763,-0.00908085146120763,-19.2901547587698,-33.1239395752455,13.8356172372987,13.8337848164756,-13.8337848164756,0,0,0,8.85070551012955,5.81348910287111
Female_AE_breathy_280Hz,Female,AE,breathy,280,QCP,grid-search,8,0,3,0.99,0.5,0.175,0.1,1,0.16311886566215,0.450942290269031,28,369.482860528077,366.066519277769,2.27694141833872,0,0.0735793082241081,0.0736836526834503,0.0736836526834503,0,0.155,0.166666666666667,-0.166666666666667,0.140688014334741,0.140542149958179,0.140542149958179,0.10994044657996,0.109945220987216,-0.109945220987216,1.0780379581202,1.07808477430486,-1.07808477430486,0.00559937814186248,0.000300839156444464,-0.000300839156444464,-19.9060018934262,-31.9773457685753,12.0742110048033,12.0713438751491,-12.0713438751491,0,0,0,8.64985195205934,5.77750173388963
